school_name,date,ppb,lat,lon
Alamo Elementary School,2017-04-12,2.66,37.7830048,-122.4822998
Alvarado Elementary School,2017-12-15,1,37.7536812,-122.4381943
Asawa (Ruth) SF School of the Arts,2018-03-14,1.2,37.7453156,-122.4488297
Balboa High School,2018-03-06,2.9,37.7211418,-122.4413986
Bessie Carmichael Middle School,2017-12-13,11,37.7805595,-122.4004898
Bret Harte Elementary School,2017-09-29,1.94,37.7178993,-122.3892212
Bryant Elementary School,2017-04-21,11.7,37.7514534,-122.4046936
Buena Vista/Horace Mann K-8,2018-01-17,5.5,37.7530327,-122.4201813
Burton (Phillip and Sala) Academic High School,2018-03-20,1.2,37.7215462,-122.4065552
Chinese Ed. Center Elementary School,2017-09-26,9.67,37.7947693,-122.4040604
Chinese Immersion School,2017-09-27,1.38,37.7698288,-122.4442749
City Arts & Tech High School,2018-03-06,1.8,37.7187843,-122.4246674
Civic Center SS,2017-09-28,1.46,37.7802963,-122.4229431
Claire B. Lilienthal 3-8 Scott Campus,2017-12-13,1.3,37.80336,-122.4432373
Commodore Sloat Elementary School,2017-04-11,1.4,37.7312584,-122.4704819
Creative Arts Charter,2017-12-13,1.5,37.7798042,-122.4360733
Daniel Webster Elementary School,2017-09-20,4.14,37.7620087,-122.4007721
Downtown High School,2017-12-16,660,37.7613983,-122.4037018
Fairmount Elementary School,2017-10-06,2.16,37.7404327,-122.4250107
Galileo High School,2017-12-13,1.5,37.803791,-122.4241486
Gateway High School,2018-01-18,2.1,37.7832642,-122.4366913
George Peabody Elementary School,2017-10-04,8.17,37.7838554,-122.4650269
George Washington Carver Elementary School,2017-04-20,5.17,37.7316666,-122.3853378
Glen Park Elementary School,2017-09-26,1.93,37.7331314,-122.4356232
Grattan Elementary School,2017-10-03,3.24,37.7634926,-122.4504242
Hillcrest Elementary School,2017-09-29,6.05,37.7284126,-122.4186859
Hilltop High School (Pregnant Minors),2017-12-05,1.1,37.7504539,-122.4096298
Hoover (Herbert) Middle School,2017-10-12,2.01,37.7455559,-122.4689636
International Study High School,2017-11-01,5600,37.7617035,-122.4006882
Jean Parker Elementary School,2017-09-28,1.45,37.7976189,-122.4110413
Jefferson Elementary School,2017-09-28,2.79,37.7630653,-122.4767303
John Yehall Chin Elementary School,2017-04-21,3.42,37.7986107,-122.4032211
Jordan (June) School for Equity,2018-03-08,2.2,37.7195358,-122.425148
Jose Ortega Elementary School,2017-09-27,1.66,37.7167816,-122.4666748
King Jr. (Martin Luther) Academic Middle School,2018-01-30,1.3,37.7277412,-122.4058075
KIPP Bayview Academy,2018-03-20,1.6,37.719532,-122.3965607
KIPP San Francisco College Prep,2018-03-20,1.3,37.732386,-122.382256
Lafayette Elementary School,2017-12-15,4.4,37.7770691,-122.4968872
Lakeshore Elementary School,2017-04-21,1.03,37.7303238,-122.4854202
Lawton Alternative Elementary School,2017-12-14,3,37.758049,-122.4890976
Life Learning Academic Charter School,2018-04-13,45,37.8255119,-122.3679962
Longfellow Elementary School,2017-12-14,5.9,37.7104225,-122.4467392
Lowell High School,2018-03-07,4.3,37.729435,-122.4830551
Malcolm X Elementary School,2017-11-01,538,37.7342377,-122.3809662
Marina Middle School,2018-01-25,1.3,37.8018265,-122.4354782
Marshall Elementary School,2017-10-13,3.94,37.7662888,-122.4190216
Marshall (Thurgood) High School,2017-12-13,7.7,37.7363091,-122.4016495
McKinley Elementary School,2017-04-20,1.27,37.7668839,-122.4362793
Miraloma Elementary School,2017-10-13,2,37.738636,-122.4501877
Mission High School,2018-03-01,1.2,37.7620201,-122.4273071
New School of San Francisco,2017-11-15,52.6,37.76172,-122.400623
Noriega Elementary School,2017-12-01,4.2,37.7538338,-122.5036545
Redding Elementary School,2017-10-17,11.9,37.7895203,-122.4192505
Rooftop Burnett Campus,2017-10-12,4.82,37.7548103,-122.443222
Rooftop Mayeda Campus,2017-10-12,2.34,37.7573967,-122.4444962
Roosevelt Middle School,2017-10-03,1.93,37.78228,-122.4583511
Sanchez Elementary School,2017-04-19,1.8,37.7634544,-122.4303589
Serra (Junipero) Elementary School,2017-12-15,1.6,37.7369118,-122.4214859
SF Community Alt,2017-09-27,1.73,37.7261047,-122.4321365
SF County Court Woodside Learning Center,2018-01-30,4.9,37.745931,-122.452907
Sheridan Elementary School,2017-10-11,1.9,37.7144775,-122.4596329
Sherman Elementary School,2017-10-20,2.72,37.797802,-122.4261169
Spring Valley Elementary School,2017-10-11,7.28,37.7940063,-122.4188156
Visitacion Valley Middle School,2017-10-20,2.6,37.715744,-122.4120789
Wallenberg (Raoul) Traditional High School,2018-02-27,4.2,37.7806473,-122.4459534
West Portal Elementary School,2017-11-02,403,37.7428741,-122.4643478
