fw_id,school_district,school_name,sample_point_name,sample_date,Pb (µg/L),result,investigative_sample_number,comments
1,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site A,14-Mar-18,< 1,initial,,
2,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site B,14-Mar-18,< 1,initial,,
3,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site C,14-Mar-18,< 1,initial,,
4,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site D,14-Mar-18,< 1,initial,,
5,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site E,14-Mar-18,< 1,initial,,
6,SFUSD,Alamo ES,Alamo ES - Site A,12-Apr-17,< 1,initial,,
7,SFUSD,Alamo ES,Alamo ES - Site B,12-Apr-17,< 1,initial,,
8,SFUSD,Alamo ES,Alamo ES - Site C,12-Apr-17,< 1,initial,,
9,SFUSD,Alamo ES,Alamo ES - Site D,12-Apr-17,< 1,initial,,
10,SFUSD,Alamo ES,Alamo ES -Site E,12-Apr-17,2.66,initial,,
11,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site A,19-Apr-17,< 1,initial,,
12,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site B,19-Apr-17,< 1,initial,,
13,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site C,19-Apr-17,< 1,initial,,
14,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site D,19-Apr-17,< 1,initial,,
15,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site E,19-Apr-17,< 1,initial,,
16,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site A,15-Dec-17,< 1,initial,,
17,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site B,15-Dec-17,1,initial,,
18,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site C,15-Dec-17,1,initial,,
19,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site D,15-Dec-17,< 1,initial,,
20,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site E,15-Dec-17,< 1,initial,,
21,SFUSD,Aptos Middle School,Aptos Middle School - Site A,14-Feb-18,< 1,initial,,"Cl2-T=2.41, 2.42"
22,SFUSD,Aptos Middle School,Aptos Middle School - Site B,14-Feb-18,< 1,initial,,"Cl2-T=2.04, 2.06"
23,SFUSD,Aptos Middle School,Aptos Middle School - Site C,14-Feb-18,< 1,initial,,"Cl2-T=1.71, 1.72"
24,SFUSD,Aptos Middle School,Aptos Middle School - Site D,14-Feb-18,< 1,initial,,"Cl2-T=2.47, 2.55"
25,SFUSD,Aptos Middle School,Aptos Middle School - Site E,14-Feb-18,< 1,initial,,"Cl2-T=2.45, 2.42"
26,SFUSD,Argonne ES,Argonne ES - Site A,20-Apr-17,< 1,initial,,
27,SFUSD,Argonne ES,Argonne ES - Site B,20-Apr-17,< 1,initial,,
28,SFUSD,Argonne ES,Argonne ES - Site C,20-Apr-17,< 1,initial,,
29,SFUSD,Argonne ES,Argonne ES - Site D,20-Apr-17,< 1,initial,,
30,SFUSD,Argonne ES,Argonne ES - Site E,20-Apr-17,< 1,initial,,
31,SFUSD,Asawa (Ruth) SF School of the Arts,Asawa (Ruth) SF School of the Arts - Site A,14-Mar-18,< 1,initial,,
32,SFUSD,Asawa (Ruth) SF School of the Arts,Asawa (Ruth) SF School of the Arts - Site B,14-Mar-18,1.2,initial,,
33,SFUSD,Asawa (Ruth) SF School of the Arts,Asawa (Ruth) SF School of the Arts - Site C,14-Mar-18,1,initial,,
34,SFUSD,Asawa (Ruth) SF School of the Arts,Asawa (Ruth) SF School of the Arts - Site D,14-Mar-18,< 1,initial,,
35,SFUSD,Asawa (Ruth) SF School of the Arts,Asawa (Ruth) SF School of the Arts - Site E,14-Mar-18,< 1,initial,,
36,SFUSD,Balboa High School,Balboa High School - Site A,6-Mar-18,1.4,initial,,
37,SFUSD,Balboa High School,Balboa High School - Site B,6-Mar-18,1.2,initial,,
38,SFUSD,Balboa High School,Balboa High School - Site C,6-Mar-18,1.1,initial,,
39,SFUSD,Balboa High School,Balboa High School - Site D,6-Mar-18,2.9,initial,,
40,SFUSD,Balboa High School,Balboa High School - Site E,6-Mar-18,< 1,initial,,
41,SFUSD,Bessie Carmichael ES,Bessie Carmichael ES - Site A,27-Apr-17,< 1,initial,,
42,SFUSD,Bessie Carmichael ES,Bessie Carmichael ES - Site B,27-Apr-17,< 1,initial,,
43,SFUSD,Bessie Carmichael ES,Bessie Carmichael ES - Site C,,,,,"Not collected, canceled by school rep"
44,SFUSD,Bessie Carmichael ES,Bessie Carmichael ES - Site D,,,,,"Not collected, canceled by school rep"
45,SFUSD,Bessie Carmichael ES,Bessie Carmichael ES - Site E,27-Apr-17,< 1,initial,,
