fw_id,school_district,school_name,sample_point_name,sample_date,Pb (µg/L),result,investigative_sample_number,comments,geo_school_name,address,lat,lon
1,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site A,3/14/18,< 1,initial,NA,NA,Academy (The) - SF @ McAteer,"555 PORTOLA DR, SAN FRANCISCO, CA 94131",37.745314,-122.448565
2,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site B,3/14/18,< 1,initial,NA,NA,Academy (The) - SF @ McAteer,"555 PORTOLA DR, SAN FRANCISCO, CA 94131",37.745314,-122.448565
3,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site C,3/14/18,< 1,initial,NA,NA,Academy (The) - SF @ McAteer,"555 PORTOLA DR, SAN FRANCISCO, CA 94131",37.745314,-122.448565
4,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site D,3/14/18,< 1,initial,NA,NA,Academy (The) - SF @ McAteer,"555 PORTOLA DR, SAN FRANCISCO, CA 94131",37.745314,-122.448565
5,SFUSD,Academy (The) - SF @ McAteer,Academy (The) - SF @ McAteer  - Site E,3/14/18,< 1,initial,NA,NA,Academy (The) - SF @ McAteer,"555 PORTOLA DR, SAN FRANCISCO, CA 94131",37.745314,-122.448565
6,SFUSD,Alamo ES,Alamo ES - Site A,4/12/17,< 1,initial,NA,NA,Alamo Elementary School,"250 23RD AVE, SAN FRANCISCO, CA 94121",37.7830048,-122.4822998
7,SFUSD,Alamo ES,Alamo ES - Site B,4/12/17,< 1,initial,NA,NA,Alamo Elementary School,"250 23RD AVE, SAN FRANCISCO, CA 94121",37.7830048,-122.4822998
8,SFUSD,Alamo ES,Alamo ES - Site C,4/12/17,< 1,initial,NA,NA,Alamo Elementary School,"250 23RD AVE, SAN FRANCISCO, CA 94121",37.7830048,-122.4822998
9,SFUSD,Alamo ES,Alamo ES - Site D,4/12/17,< 1,initial,NA,NA,Alamo Elementary School,"250 23RD AVE, SAN FRANCISCO, CA 94121",37.7830048,-122.4822998
10,SFUSD,Alamo ES,Alamo ES -Site E,4/12/17,2.66,initial,NA,NA,Alamo Elementary School,"250 23RD AVE, SAN FRANCISCO, CA 94121",37.7830048,-122.4822998
11,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site A,4/19/17,< 1,initial,NA,NA,"Yu, Alice Fong Yu Alternative School","1541 12TH AVE, SAN FRANCISCO, CA 94122",37.7589645,-122.4696808
12,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site B,4/19/17,< 1,initial,NA,NA,"Yu, Alice Fong Yu Alternative School","1541 12TH AVE, SAN FRANCISCO, CA 94122",37.7589645,-122.4696808
13,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site C,4/19/17,< 1,initial,NA,NA,"Yu, Alice Fong Yu Alternative School","1541 12TH AVE, SAN FRANCISCO, CA 94122",37.7589645,-122.4696808
14,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site D,4/19/17,< 1,initial,NA,NA,"Yu, Alice Fong Yu Alternative School","1541 12TH AVE, SAN FRANCISCO, CA 94122",37.7589645,-122.4696808
15,SFUSD,Alice Fong Yu ES,Alice Fong Yu ES - Site E,4/19/17,< 1,initial,NA,NA,"Yu, Alice Fong Yu Alternative School","1541 12TH AVE, SAN FRANCISCO, CA 94122",37.7589645,-122.4696808
16,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site A,12/15/17,< 1,initial,NA,NA,Alvarado Elementary School,"625 DOUGLASS ST, SAN FRANCISCO, CA 94114",37.7536812,-122.4381943
17,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site B,12/15/17,1,initial,NA,NA,Alvarado Elementary School,"625 DOUGLASS ST, SAN FRANCISCO, CA 94114",37.7536812,-122.4381943
18,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site C,12/15/17,1,initial,NA,NA,Alvarado Elementary School,"625 DOUGLASS ST, SAN FRANCISCO, CA 94114",37.7536812,-122.4381943
19,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site D,12/15/17,< 1,initial,NA,NA,Alvarado Elementary School,"625 DOUGLASS ST, SAN FRANCISCO, CA 94114",37.7536812,-122.4381943
20,SFUSD,Alvarado Elementary School,Alvarado Elementary School - Site E,12/15/17,< 1,initial,NA,NA,Alvarado Elementary School,"625 DOUGLASS ST, SAN FRANCISCO, CA 94114",37.7536812,-122.4381943
21,SFUSD,Aptos Middle School,Aptos Middle School - Site A,2/14/18,< 1,initial,NA,"Cl2-T=2.41, 2.42",Aptos Middle School,"105 APTOS AVE, SAN FRANCISCO, CA 94127",37.7296715,-122.4657822
22,SFUSD,Aptos Middle School,Aptos Middle School - Site B,2/14/18,< 1,initial,NA,"Cl2-T=2.04, 2.06",Aptos Middle School,"105 APTOS AVE, SAN FRANCISCO, CA 94127",37.7296715,-122.4657822
23,SFUSD,Aptos Middle School,Aptos Middle School - Site C,2/14/18,< 1,initial,NA,"Cl2-T=1.71, 1.72",Aptos Middle School,"105 APTOS AVE, SAN FRANCISCO, CA 94127",37.7296715,-122.4657822
24,SFUSD,Aptos Middle School,Aptos Middle School - Site D,2/14/18,< 1,initial,NA,"Cl2-T=2.47, 2.55",Aptos Middle School,"105 APTOS AVE, SAN FRANCISCO, CA 94127",37.7296715,-122.4657822
25,SFUSD,Aptos Middle School,Aptos Middle School - Site E,2/14/18,< 1,initial,NA,"Cl2-T=2.45, 2.42",Aptos Middle School,"105 APTOS AVE, SAN FRANCISCO, CA 94127",37.7296715,-122.4657822
